ID,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price,area,bedrooms
56,1,2,yes,no,yes,no,no,1,yes,semi-furnished,7343000,11440,4
57,2,4,yes,yes,no,no,yes,1,yes,furnished,7245000,9000,4
58,2,4,yes,yes,no,no,yes,1,no,semi-furnished,7210000,7680,4
59,2,4,yes,yes,no,no,yes,1,no,furnished,7210000,6000,3
60,2,2,yes,yes,no,no,no,1,no,semi-furnished,7140000,6000,3
61,1,1,yes,no,no,no,yes,1,no,semi-furnished,7070000,8880,2
62,2,2,yes,no,no,no,yes,1,no,furnished,7070000,6240,4
63,2,3,yes,no,no,no,yes,2,yes,furnished,7035000,6360,4
64,1,1,yes,no,yes,no,yes,1,yes,furnished,7000000,11175,3
65,2,2,yes,no,yes,no,yes,1,no,furnished,6930000,8880,3
66,1,1,yes,no,yes,yes,no,1,no,furnished,6930000,13200,2
67,2,1,yes,no,no,no,no,2,no,unfurnished,6895000,7700,3
68,1,1,yes,no,no,no,yes,1,no,furnished,6860000,6000,3
69,2,2,yes,no,no,no,no,2,yes,furnished,6790000,12090,4
70,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,6790000,4000,3
71,2,4,yes,no,no,no,yes,0,no,unfurnished,6755000,6000,4
72,1,4,yes,no,no,no,yes,0,yes,unfurnished,6720000,5020,3
73,2,4,yes,no,yes,no,no,0,yes,furnished,6685000,6600,2
74,1,2,yes,no,yes,yes,no,1,no,furnished,6650000,4040,3
75,2,2,yes,no,no,yes,no,0,no,semi-furnished,6650000,4260,4
76,2,3,yes,no,no,no,yes,0,yes,furnished,6650000,6420,3
77,2,3,yes,no,no,no,yes,0,yes,furnished,6650000,6500,3
78,1,1,yes,yes,yes,no,yes,2,yes,furnished,6650000,5700,3
79,2,3,yes,yes,no,no,yes,0,no,furnished,6650000,6000,3
80,1,2,yes,no,no,yes,no,1,yes,semi-furnished,6629000,6000,3
81,2,2,yes,no,yes,no,yes,1,no,semi-furnished,6615000,4000,3
82,2,1,yes,no,yes,no,yes,1,yes,furnished,6615000,10500,3
83,2,4,yes,no,no,no,yes,0,no,semi-furnished,6580000,6000,3
84,1,2,yes,no,no,yes,no,2,no,semi-furnished,6510000,3760,3
85,2,3,yes,no,no,no,yes,0,no,furnished,6510000,8250,3
86,1,3,yes,no,yes,no,no,0,yes,unfurnished,6510000,6670,3
87,1,1,yes,no,yes,no,no,2,no,semi-furnished,6475000,3960,3
88,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,6475000,7410,3
89,3,2,yes,no,no,no,no,2,no,furnished,6440000,8580,5
90,1,2,yes,no,no,no,yes,0,no,semi-furnished,6440000,5000,3
91,1,1,yes,yes,yes,no,no,2,yes,furnished,6419000,6750,2
92,2,4,yes,yes,no,no,yes,0,no,furnished,6405000,4800,3
93,2,1,yes,no,yes,no,yes,3,no,semi-furnished,6300000,7200,3
94,2,4,yes,no,no,no,no,1,no,semi-furnished,6300000,6000,4
95,2,3,yes,no,no,no,yes,2,no,semi-furnished,6300000,4100,3
96,1,1,yes,no,yes,no,no,1,yes,furnished,6300000,9000,3
97,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,6300000,6400,3
98,2,3,yes,no,no,no,yes,0,yes,unfurnished,6293000,6600,3
99,1,3,yes,yes,yes,no,no,0,yes,unfurnished,6265000,6000,4
100,2,1,yes,no,yes,no,yes,0,yes,unfurnished,6230000,6600,3
101,1,3,yes,no,no,no,no,1,yes,unfurnished,6230000,5500,3
102,2,4,yes,yes,no,no,yes,1,no,semi-furnished,6195000,5500,3
103,2,3,yes,yes,no,no,yes,0,no,furnished,6195000,6350,3
104,2,1,yes,yes,yes,no,no,2,yes,furnished,6195000,5500,3
105,1,4,yes,no,no,no,yes,0,no,unfurnished,6160000,4500,3
106,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,6160000,5450,4
107,1,3,yes,no,yes,no,no,0,yes,unfurnished,6125000,6420,3
108,1,3,yes,no,no,no,no,1,no,semi-furnished,6107500,3240,4
109,2,2,yes,yes,no,yes,no,1,no,semi-furnished,6090000,6615,4
110,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,6090000,6600,3
111,1,3,yes,no,no,no,yes,2,no,unfurnished,6090000,8372,3
112,2,2,yes,no,no,no,no,0,no,furnished,6083000,4300,6
113,1,1,yes,no,yes,no,no,2,yes,furnished,6083000,9620,3
114,1,1,yes,yes,yes,no,no,2,no,furnished,6020000,6800,2
115,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,6020000,8000,3
116,2,1,yes,yes,yes,no,no,0,yes,unfurnished,6020000,6900,3
117,1,2,yes,yes,no,no,yes,0,no,furnished,5950000,3700,4
118,1,1,yes,no,yes,no,yes,0,yes,furnished,5950000,6420,3
119,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,5950000,7020,3
120,1,1,yes,yes,yes,no,no,2,yes,furnished,5950000,6540,3
121,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,5950000,7231,3
122,2,1,yes,no,yes,no,no,1,yes,semi-furnished,5950000,6254,4
123,2,2,yes,no,no,no,no,0,no,furnished,5950000,7320,4
124,2,4,yes,no,no,no,no,1,no,furnished,5950000,6525,3
125,1,1,yes,no,no,no,yes,2,no,semi-furnished,5943000,15600,3
126,1,1,yes,no,yes,no,no,2,yes,unfurnished,5880000,7160,3
127,2,3,yes,no,no,no,yes,0,no,unfurnished,5880000,6500,3
128,1,3,yes,yes,no,no,yes,1,no,furnished,5873000,5500,3
129,1,3,yes,no,no,no,no,2,yes,semi-furnished,5873000,11460,3
130,1,1,yes,yes,yes,no,no,0,no,unfurnished,5866000,4800,3
131,1,4,yes,yes,no,no,no,0,no,semi-furnished,5810000,5828,4
132,1,3,yes,no,no,no,yes,0,no,semi-furnished,5810000,5200,3
133,1,3,yes,no,no,no,yes,0,no,unfurnished,5810000,4800,3
134,1,1,yes,no,yes,no,no,2,yes,semi-furnished,5803000,7000,3
135,2,4,yes,no,no,no,yes,0,no,unfurnished,5775000,6000,3
136,2,2,yes,no,no,no,yes,2,no,unfurnished,5740000,5400,4
137,1,2,yes,no,no,no,no,1,no,semi-furnished,5740000,4640,4
138,1,3,yes,no,no,no,yes,0,no,semi-furnished,5740000,5000,3
139,1,1,yes,yes,yes,no,yes,2,yes,furnished,5740000,6360,3
140,2,4,yes,no,no,no,yes,0,no,unfurnished,5740000,5800,3
141,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,5652500,6660,4
142,2,2,yes,no,no,no,no,1,no,semi-furnished,5600000,10500,4
143,2,3,no,no,yes,yes,no,0,no,unfurnished,5600000,4800,5
144,1,2,yes,yes,yes,no,yes,1,no,furnished,5600000,4700,4
145,1,4,yes,no,no,no,no,0,no,furnished,5600000,5000,3
146,1,1,yes,no,no,no,no,1,no,semi-furnished,5600000,10500,2
147,2,2,yes,no,no,no,no,1,no,semi-furnished,5600000,5500,3
148,1,3,yes,no,no,no,no,0,yes,semi-furnished,5600000,6360,3
149,2,1,yes,no,yes,no,no,0,yes,semi-furnished,5600000,6600,4
150,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,5600000,5136,3
151,1,2,yes,no,no,no,yes,2,yes,semi-furnished,5565000,4400,4
152,1,2,yes,yes,yes,no,yes,0,yes,furnished,5565000,5400,5
153,3,2,yes,no,yes,no,no,0,no,semi-furnished,5530000,3300,3
154,2,2,yes,no,no,no,no,2,no,semi-furnished,5530000,3650,3
155,2,1,yes,no,yes,no,no,2,yes,furnished,5530000,6100,3
156,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,5523000,6900,3
157,2,2,no,yes,yes,no,no,1,no,furnished,5495000,2817,4
158,1,1,yes,no,no,no,no,2,no,semi-furnished,5495000,7980,3
159,2,1,yes,yes,yes,no,yes,0,no,furnished,5460000,3150,3
160,1,4,yes,yes,no,no,yes,0,no,furnished,5460000,6210,4
161,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,5460000,6100,3
162,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,5460000,6600,4
163,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,5425000,6825,3
164,2,2,yes,yes,yes,no,no,1,yes,furnished,5390000,6710,3
165,2,1,yes,yes,yes,yes,no,0,no,unfurnished,5383000,6450,3
166,1,1,yes,no,yes,no,yes,2,yes,unfurnished,5320000,7800,3
167,2,1,yes,no,no,no,yes,2,no,semi-furnished,5285000,4600,2
168,1,2,yes,no,yes,no,yes,0,no,furnished,5250000,4260,4
169,2,2,no,no,no,no,yes,0,no,semi-furnished,5250000,6540,4
170,2,1,yes,no,yes,no,no,0,no,semi-furnished,5250000,5500,3
171,1,1,yes,no,no,no,no,1,yes,semi-furnished,5250000,10269,3
172,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,5250000,8400,3
173,2,1,yes,no,no,no,yes,0,yes,unfurnished,5250000,5300,4
174,1,2,yes,yes,yes,no,no,1,yes,unfurnished,5250000,3800,3
175,2,2,yes,yes,no,no,no,2,no,semi-furnished,5250000,9800,4
176,1,1,yes,no,no,no,yes,2,no,furnished,5250000,8520,3
177,1,1,yes,no,yes,no,no,0,yes,semi-furnished,5243000,6050,3
178,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,5229000,7085,3
179,2,2,yes,no,no,no,no,2,no,semi-furnished,5215000,3180,3
180,2,1,no,no,yes,no,yes,2,no,semi-furnished,5215000,4500,4
181,1,2,yes,yes,yes,no,no,1,yes,furnished,5215000,7200,3
182,1,2,no,no,no,no,yes,0,no,semi-furnished,5145000,3410,3
183,1,1,yes,no,no,no,no,1,yes,semi-furnished,5145000,7980,3
184,2,2,yes,yes,yes,no,no,0,no,furnished,5110000,3000,3
185,1,2,yes,no,yes,no,no,0,no,unfurnished,5110000,3000,3
186,1,2,yes,no,no,no,no,0,yes,furnished,5110000,11410,2
187,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,5110000,6100,3
188,1,2,yes,no,no,no,yes,0,yes,unfurnished,5075000,5720,2
189,1,1,no,yes,yes,no,no,0,no,semi-furnished,5040000,3540,2
190,1,2,yes,no,no,no,yes,2,no,furnished,5040000,7600,4
191,1,2,yes,yes,yes,no,no,0,no,semi-furnished,5040000,10700,3
192,1,1,yes,yes,yes,no,no,0,yes,furnished,5040000,6600,3
193,1,1,yes,yes,yes,no,no,0,no,semi-furnished,5033000,4800,2
194,2,1,yes,yes,yes,no,no,0,no,semi-furnished,5005000,8150,3
195,3,2,yes,no,yes,no,no,2,no,semi-furnished,4970000,4410,4
196,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,4970000,7686,3
197,2,2,no,no,yes,no,yes,1,no,semi-furnished,4956000,2800,3
198,1,2,yes,no,no,no,yes,0,no,semi-furnished,4935000,5948,3
199,1,2,yes,no,no,no,no,1,no,furnished,4907000,4200,3
