id,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
139,1,1,yes,yes,yes,no,yes,2,yes,furnished
140,2,4,yes,no,no,no,yes,0,no,unfurnished
141,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
142,2,2,yes,no,no,no,no,1,no,semi-furnished
143,2,3,no,no,yes,yes,no,0,no,unfurnished
144,1,2,yes,yes,yes,no,yes,1,no,furnished
145,1,4,yes,no,no,no,no,0,no,furnished
146,1,1,yes,no,no,no,no,1,no,semi-furnished
147,2,2,yes,no,no,no,no,1,no,semi-furnished
148,1,3,yes,no,no,no,no,0,yes,semi-furnished
149,2,1,yes,no,yes,no,no,0,yes,semi-furnished
150,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
151,1,2,yes,no,no,no,yes,2,yes,semi-furnished
152,1,2,yes,yes,yes,no,yes,0,yes,furnished
153,3,2,yes,no,yes,no,no,0,no,semi-furnished
154,2,2,yes,no,no,no,no,2,no,semi-furnished
155,2,1,yes,no,yes,no,no,2,yes,furnished
156,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
157,2,2,no,yes,yes,no,no,1,no,furnished
158,1,1,yes,no,no,no,no,2,no,semi-furnished
159,2,1,yes,yes,yes,no,yes,0,no,furnished
160,1,4,yes,yes,no,no,yes,0,no,furnished
161,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
162,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
163,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,2,2,yes,yes,yes,no,no,1,yes,furnished
165,2,1,yes,yes,yes,yes,no,0,no,unfurnished
166,1,1,yes,no,yes,no,yes,2,yes,unfurnished
167,2,1,yes,no,no,no,yes,2,no,semi-furnished
168,1,2,yes,no,yes,no,yes,0,no,furnished
169,2,2,no,no,no,no,yes,0,no,semi-furnished
170,2,1,yes,no,yes,no,no,0,no,semi-furnished
171,1,1,yes,no,no,no,no,1,yes,semi-furnished
172,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
173,2,1,yes,no,no,no,yes,0,yes,unfurnished
174,1,2,yes,yes,yes,no,no,1,yes,unfurnished
175,2,2,yes,yes,no,no,no,2,no,semi-furnished
176,1,1,yes,no,no,no,yes,2,no,furnished
177,1,1,yes,no,yes,no,no,0,yes,semi-furnished
178,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
179,2,2,yes,no,no,no,no,2,no,semi-furnished
180,2,1,no,no,yes,no,yes,2,no,semi-furnished
181,1,2,yes,yes,yes,no,no,1,yes,furnished
182,1,2,no,no,no,no,yes,0,no,semi-furnished
183,1,1,yes,no,no,no,no,1,yes,semi-furnished
184,2,2,yes,yes,yes,no,no,0,no,furnished
185,1,2,yes,no,yes,no,no,0,no,unfurnished
186,1,2,yes,no,no,no,no,0,yes,furnished
187,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
188,1,2,yes,no,no,no,yes,0,yes,unfurnished
189,1,1,no,yes,yes,no,no,0,no,semi-furnished
190,1,2,yes,no,no,no,yes,2,no,furnished
191,1,2,yes,yes,yes,no,no,0,no,semi-furnished
192,1,1,yes,yes,yes,no,no,0,yes,furnished
193,1,1,yes,yes,yes,no,no,0,no,semi-furnished
194,2,1,yes,yes,yes,no,no,0,no,semi-furnished
195,3,2,yes,no,yes,no,no,2,no,semi-furnished
196,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
197,2,2,no,no,yes,no,yes,1,no,semi-furnished
198,1,2,yes,no,no,no,yes,0,no,semi-furnished
199,1,2,yes,no,no,no,no,1,no,furnished
